Name,Source,Condition,Condition augmented,proc_num#category,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Sc,Si,Sn,Ti,V,Zn,Zr
Scandium in aluminium alloys,5171,"Cold rolled material (50%) w/intermediate anneals at 343C, aged 288C/8h",T6,10,0,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0.003,0,0,0,0,0,0
Scandium in aluminium alloys,5237,"Cold rolled material (83%), aged 320C/1 h",T6,10,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.01,0,0,0,0,0,0
Scandium in aluminium alloys,1171,"cold rolled material (89%), aged 288 C/8h",T6,10,0,0.9977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0
Scandium in aluminium alloys,1171,"cold rolled material (89%), aged 288 C/8h",T6,10,0,0.9962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0
Scandium in aluminium alloys,5171,"Cold rolled material (89%), aged 288C/8 h",T6,10,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
Scandium in aluminium alloys,3171,"Cold rolled material (89%), aged 288C/8 h",T6,10,0,0.9885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.0015,0,0,0,0,0,0
Scandium in aluminium alloys,5171,"Cold rolled material (89%), aged 288C/8 h",T6,10,0,0.987,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.003,0,0,0,0,0,0
Scandium in aluminium alloys,3171,"Cold rolled material (89%), aged 288C/8 h",T6,10,0,0.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.005,0,0,0,0,0,0
Scandium in aluminium alloys,1171,"cold rolled material, quenched from 649 C, aged 288 C/8h",T6,10,0,0.9977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0
Scandium in aluminium alloys,1171,"cold rolled material, quenched from 649 C, aged 288 C/8h",T6,10,0,0.9962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,"cold-rolled 83%, aged at 593K (320 C)",T6,10,0,0.9925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,"cold-rolled 83%, aged at 593K (320 C)",T6,10,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,"cold-rolled 83%, aged at 593K (320 C)",T6,10,0,0.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0
Scandium in aluminium alloys,3186,"Extruded material, solutionised 600C, aged 250C",T6,10,0,0.9889,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.005,0,0.0026,0,0,0,0,0,0.0015
